,startoftext,person</w>,person</w>,share</w>,kisses</w>,endoftext
frame_122,256292.1643257141,110766.20221138,132357.94007778168,102777.66734361649,95463.73784542084,302342.2956466675
frame_123,158803.16495895386,77712.09627389908,134574.90503787994,194907.85896778107,118215.35229682922,315786.60011291504
frame_124,160378.23259830475,113656.71455860138,70305.83918094635,166748.35979938507,112786.26322746277,376124.5906352997
frame_125,169560.79006195068,84380.64903020859,128607.00488090515,127307.65342712402,148116.8568134308,342027.06813812256
frame_126,149408.63847732544,72932.55627155304,99529.91455793381,163116.81270599365,246295.7501411438,268716.33529663086
frame_127,179146.26002311707,100296.16951942444,104143.75364780426,157175.83894729614,153982.0432662964,305255.9494972229
frame_128,173167.9141521454,54194.40567493439,66677.86836624146,176256.25431537628,81745.47553062439,447958.0521583557
frame_129,247563.31741809845,97876.57856941223,132175.5051612854,126377.62725353241,126060.23252010345,269946.72417640686
frame_130,236497.78962135315,82412.9581451416,130950.62971115112,162754.625082016,63448.93574714661,323935.03189086914
frame_131,168339.96772766113,101177.79672145844,108197.67415523529,116484.79104042053,149837.13626861572,355962.6340866089
frame_132,178464.91932868958,91374.88156557083,172196.59686088562,145338.81843090057,151912.18256950378,260712.59379386902
frame_133,205031.21614456177,75329.11747694016,137152.94003486633,153005.59997558594,113355.93461990356,316125.15449523926
frame_134,83564.71359729767,51442.548632621765,94255.10466098785,188649.65438842773,130814.34369087219,451273.649930954
frame_135,130883.21685791016,83376.01274251938,112915.08376598358,179165.0950908661,165858.9243888855,327801.7044067383
frame_136,212257.95149803162,88349.3572473526,111228.0935049057,123864.50171470642,152199.6259689331,312100.47006607056
frame_137,216977.2833585739,61414.480209350586,110632.71760940552,157107.32340812683,124316.64764881134,329551.5477657318
frame_138,186355.0841808319,75216.88938140869,105089.67936038971,168684.03553962708,142964.6760225296,321689.635515213
frame_139,205161.98873519897,93596.1902141571,104335.59119701385,145674.37767982483,191670.44758796692,259561.4194869995
frame_140,208493.11351776123,88966.20571613312,95330.18618822098,171906.41164779663,167802.631855011,267501.44362449646
frame_141,204425.96077919006,68652.39888429642,90749.80765581131,173087.16475963593,96607.78194665909,366476.8934249878
frame_142,148857.84685611725,104962.27443218231,122058.42137336731,201482.892036438,141387.99905776978,281250.536441803
frame_143,181163.0129814148,86323.87965917587,79272.3223567009,116603.7917137146,288813.5313987732,247823.47679138184
frame_144,165237.50126361847,79183.25811624527,95765.91849327087,246757.98416137695,110301.9118309021,302753.41868400574
frame_145,203335.4640007019,101085.37971973419,122878.02249193192,110303.47645282745,128942.87705421448,333454.78773117065
frame_146,98380.10370731354,110271.69227600098,148473.5608100891,162110.0902557373,132790.53568840027,347974.03216362
frame_147,218759.2089176178,60789.39884901047,71394.74898576736,171459.01918411255,116801.16504430771,360796.4515686035
frame_148,191885.0988149643,82324.73582029343,165084.21301841736,212908.20837020874,101660.96687316895,246136.81435585022
frame_149,167173.05779457092,96905.96163272858,141167.71519184113,133181.1249256134,175390.69056510925,286181.4796924591
frame_150,141187.26551532745,53993.623703718185,74591.5174484253,171405.97105026245,168322.8611946106,390498.8169670105
frame_151,161108.55340957642,58763.518929481506,72822.9284286499,151535.63022613525,102619.38720941544,453149.9743461609
frame_152,303236.36531829834,72175.61453580856,69528.05072069168,150759.9651813507,78669.54058408737,325630.4860115051
frame_153,285581.20131492615,84839.25461769104,98809.19754505157,165288.12050819397,89284.64353084564,276197.612285614
frame_154,305018.72301101685,114036.56750917435,73372.63226509094,129252.1059513092,120602.63752937317,257717.3411846161
frame_155,144714.68329429626,80187.27600574493,123197.97277450562,185887.48574256897,157727.912068367,308284.6999168396
frame_156,211454.92792129517,96976.51863098145,109637.37964630127,152696.8479156494,106575.608253479,322658.7176322937
frame_157,116386.68179512024,64700.618386268616,142936.98966503143,190873.6675977707,140137.59791851044,344964.4446372986
frame_158,178244.4268465042,91369.6140050888,109553.0241727829,215614.54236507416,130607.93280601501,274610.4598045349
frame_159,168290.22765159607,62212.09093928337,137308.31444263458,188813.79067897797,82843.54209899902,360532.0453643799
frame_160,188484.60912704468,106779.37418222427,126888.11123371124,147858.03854465485,90791.9853925705,339197.87406921387
frame_161,228443.77160072327,93188.23367357254,113955.57224750519,86022.45897054672,187098.1752872467,291291.7733192444
frame_162,183754.8315525055,85420.96614837646,119173.83968830109,115372.6875782013,166592.15092658997,329685.5390071869
frame_163,204016.35766029358,86145.52021026611,105962.51487731934,122967.57847070694,111237.99532651901,369670.0632572174
frame_164,119919.03185844421,52596.8000292778,87373.12257289886,197429.8506975174,60899.555683135986,481781.66151046753
frame_165,237520.33710479736,120615.56428670883,116407.88614749908,142186.5075826645,125009.17911529541,258260.5481147766
frame_166,143449.17237758636,86735.5465888977,104738.5185956955,177087.27717399597,211413.94972801208,276575.5355358124
frame_167,305365.1750087738,51834.51622724533,92443.70460510254,133933.46965312958,122554.80140447617,293868.3032989502
frame_168,190748.75116348267,59949.494898319244,147113.5914325714,135461.9860649109,117148.65267276764,349577.54611968994
frame_169,149104.0289402008,97682.35683441162,119955.07031679153,161587.37242221832,104031.92043304443,367639.2138004303
frame_170,208716.9885635376,64209.80393886566,133110.82124710083,143603.68251800537,110591.51589870453,339767.187833786
frame_171,214276.07536315918,105760.99157333374,89151.11422538757,90471.07398509979,135264.72449302673,365075.9756565094
frame_172,181682.86979198456,56423.35116863251,120354.72691059113,219916.58210754395,104462.1616601944,317160.33816337585
frame_173,134611.1297607422,53342.59569644928,132992.07389354706,191671.6992855072,98665.45349359512,388716.99571609497
frame_174,166286.31949424744,64023.397862911224,113984.71891880035,196929.57401275635,136742.83027648926,322033.166885376
frame_175,187444.0461397171,62889.96338844299,108598.36637973785,207245.3498840332,158389.1063928604,275433.15291404724
frame_176,170938.25340270996,107057.79492855072,106984.76433753967,173636.16824150085,153574.97334480286,287808.0606460571
frame_177,149151.80206298828,93973.24919700623,113738.13450336456,186591.07387065887,174472.00417518616,282073.7957954407
frame_178,196789.6819114685,69142.10319519043,100880.1981806755,179386.168718338,75375.78046321869,378426.04517936707
frame_179,269123.3158111572,64700.99091529846,68204.41782474518,152746.85621261597,94143.22674274445,351081.2222957611
frame_180,136874.04990196228,83585.34425497055,56837.499141693115,128166.37754440308,255503.1180381775,339033.6334705353
frame_181,158307.7609539032,97230.09169101715,101676.3299703598,127459.04922485352,136524.42395687103,378802.3889064789
frame_182,230362.23649978638,92872.9772567749,134340.0478363037,127753.19814682007,131852.04565525055,282819.5095062256
frame_183,147140.08569717407,128848.58250617981,86995.75066566467,153524.80113506317,145422.5778579712,338068.1872367859
frame_184,239199.9363899231,124383.88168811798,103269.12254095078,151364.83311653137,80382.25769996643,301399.97601509094
frame_185,147291.898727417,102399.5503783226,92324.3761062622,134025.51412582397,101686.93959712982,422271.728515625
frame_186,116983.36899280548,66841.27449989319,97222.55170345306,157149.076461792,69082.93068408966,492720.8125591278
frame_187,123544.6035861969,73631.76345825195,112330.8539390564,167432.63602256775,210507.49719142914,312552.69050598145
frame_188,105269.75989341736,66845.29781341553,111929.34215068817,200196.83241844177,119957.00001716614,395801.72300338745
frame_189,236239.82071876526,70224.91842508316,74301.54085159302,158966.01974964142,83458.52047204971,376809.17978286743
frame_190,76114.16280269623,56292.84679889679,100378.58784198761,239157.91511535645,150411.78464889526,377644.71769332886
frame_191,220834.8512649536,123920.738697052,76398.35774898529,179171.8304157257,56630.074977874756,343044.1617965698
frame_192,121356.7852973938,116168.84171962738,99699.33331012726,209719.4492816925,119577.3035287857,333478.27196121216
frame_193,249730.11016845703,96161.70823574066,81660.27069091797,111807.48045444489,159826.51710510254,300813.9133453369
frame_194,189487.0400428772,130185.3358745575,71493.13390254974,174243.89719963074,148247.09296226501,286343.514919281
frame_195,197564.40818309784,85594.25920248032,76148.27901124954,91539.44998979568,92453.56172323227,456700.08659362793
frame_196,177907.39238262177,66945.46341896057,136610.41855812073,187078.65476608276,130200.28173923492,301257.78913497925
frame_197,111229.09188270569,70049.2411851883,95625.93698501587,130891.79992675781,123090.2448296547,469113.70754241943
frame_198,137370.13936042786,79521.61133289337,122640.14780521393,139344.90084648132,199760.94365119934,321362.2570037842
frame_199,201356.61959648132,121111.84746026993,80396.68202400208,129439.53275680542,134853.18422317505,332842.1115875244
frame_200,98437.8308057785,85108.58565568924,105737.89477348328,144855.0820350647,210619.2708015442,355241.3284778595
frame_201,186374.5152950287,123497.27004766464,79222.88775444031,122260.89835166931,78045.87483406067,410598.5760688782
frame_202,192353.2783985138,63505.21743297577,97859.26342010498,224081.1437368393,108414.32213783264,313786.74507141113
frame_203,108971.40204906464,61788.711696863174,132326.67744159698,174151.30138397217,250814.2590522766,271947.6521015167
frame_204,138743.0727481842,49921.318888664246,150912.3146533966,191505.43212890625,227216.85469150543,241701.00688934326
frame_205,182260.02156734467,46740.04763364792,108924.61240291595,184196.77019119263,109009.92155075073,368868.6192035675
frame_206,233716.1749601364,57020.314037799835,48306.1857521534,162766.32249355316,138759.12129878998,359431.8926334381
frame_207,142427.17623710632,65470.36021947861,117918.28274726868,118121.1918592453,182071.86460494995,373991.13178253174
frame_208,207908.2429409027,71136.07227802277,118507.69817829132,229636.13271713257,88757.57455825806,284054.2793273926
frame_209,209118.75367164612,97724.09498691559,99887.53497600555,111032.53811597824,146428.48074436188,335808.6049556732
frame_210,272169.3515777588,48260.78936457634,82803.10779809952,229740.97728729248,64660.318195819855,302365.42224884033
frame_211,171533.19716453552,86698.85993003845,94067.60334968567,250724.13682937622,117984.78662967682,278991.4309978485
frame_212,119246.07306718826,77400.13301372528,99089.73425626755,152845.02506256104,190744.60864067078,360674.4408607483
frame_213,164315.68562984467,59647.62717485428,91545.26889324188,125153.67567539215,100673.34771156311,458664.3874645233
frame_214,215212.71765232086,98337.34482526779,93381.80720806122,144472.33080863953,169142.484664917,279453.3371925354
frame_215,181764.34934139252,93321.71827554703,98482.66839981079,118807.03270435333,152304.7387599945,355319.47016716003
frame_216,135857.89501667023,45499.30244684219,81613.90572786331,225476.65238380432,103017.38977432251,408534.82484817505
frame_217,235972.76210784912,90455.40541410446,64610.17578840256,136657.2380065918,170943.14098358154,301361.2926006317
frame_218,119535.4163646698,102126.88148021698,82855.48537969589,152116.35828018188,157026.61871910095,386339.2472267151
frame_219,162831.27665519714,82371.51801586151,108914.94154930115,178133.93473625183,129736.21487617493,338012.12906837463
frame_220,139611.154794693,91764.04029130936,86815.81914424896,144908.1301689148,192768.99099349976,344131.85715675354
frame_221,186943.70985031128,100676.58126354218,104864.85064029694,149406.3287973404,134538.27798366547,323570.22166252136
frame_222,198098.67441654205,85735.35084724426,60083.31477642059,134768.36681365967,138885.34903526306,382428.94411087036
frame_223,171849.78723526,74513.78554105759,69896.6532945633,155358.61253738403,161989.7335767746,366391.45016670227
frame_224,137867.2420978546,91230.02737760544,165026.6945362091,172024.29473400116,108787.74523735046,325064.0332698822
frame_225,122521.42280340195,74565.60432910919,135554.40306663513,174319.50569152832,152913.8684272766,340125.2031326294
frame_226,234075.33764839172,57061.64240837097,91049.25394058228,183563.32182884216,200206.04133605957,234044.3730354309
frame_227,105665.26651382446,55315.62864780426,145405.76934814453,172114.49146270752,120323.047041893,401175.7969856262
frame_228,182143.80741119385,119117.40899085999,134612.75398731232,115853.23512554169,110414.5497083664,337858.2298755646
frame_229,200187.26587295532,81739.74603414536,128901.48162841797,173357.59103298187,81248.80492687225,334565.10305404663
frame_230,141063.43686580658,102589.57743644714,74938.39412927628,97474.97737407684,179283.2463979721,404650.39014816284
frame_231,194190.74058532715,85252.84379720688,92607.66208171844,195939.16833400726,77974.70688819885,354034.9006652832
frame_232,158863.00802230835,109444.759786129,87508.425116539,146627.12812423706,224857.06210136414,272699.65410232544
frame_233,147271.8119621277,66290.9597158432,125294.68536376953,235075.9655237198,133492.23136901855,292574.3758678436
frame_234,147821.41149044037,90104.1179895401,115741.69248342514,179361.35828495026,135130.47993183136,331840.9323692322
frame_235,198526.20363235474,45560.42701005936,110344.5366024971,113417.02938079834,64640.98393917084,467510.8194351196
frame_236,219261.0502243042,79190.53733348846,86373.35151433945,192189.44013118744,66888.30256462097,356097.2809791565
frame_237,157657.50408172607,82755.90091943741,132564.85760211945,189969.36082839966,150589.67471122742,286462.7242088318
frame_238,176995.54562568665,102867.85662174225,111084.02907848358,126492.78342723846,129580.15501499176,352979.6600341797
frame_239,207661.39030456543,155747.4434375763,111439.51117992401,130992.38276481628,117322.07238674164,276837.19992637634
frame_240,106135.39814949036,78052.07371711731,93053.97421121597,180457.74102210999,208606.89878463745,333693.89176368713
frame_241,140073.61233234406,86828.0827999115,142367.00534820557,126988.20233345032,191978.3651828766,311764.7171020508
frame_242,105928.71904373169,59253.24186682701,80379.4339299202,181732.35654830933,115045.18240690231,457661.09228134155
frame_243,150602.45990753174,72911.88836097717,61663.612723350525,260890.06662368774,98958.45502614975,354973.52480888367
frame_244,298205.34586906433,84395.28197050095,93663.97559642792,149967.0296907425,79860.25512218475,293908.11920166016
frame_245,173552.45351791382,103303.53677272797,89187.89774179459,118638.72408866882,147693.05288791656,367624.28283691406
frame_246,140530.37762641907,116147.7267742157,92032.81253576279,176675.90081691742,138422.98090457916,336190.1640892029
frame_247,152799.99375343323,117213.4280204773,115675.58348178864,106208.17542076111,182249.9930858612,325852.81133651733
frame_248,140797.04880714417,112357.2364449501,153758.7344646454,131037.56308555603,161410.8383655548,300638.5564804077
frame_249,297107.9349517822,76541.27478599548,39547.96493053436,130290.53807258606,115775.86084604263,340736.448764801
frame_250,150800.33242702484,104482.9785823822,81899.9707698822,183805.4060935974,81115.36502838135,397895.9619998932
frame_251,115815.56499004364,56330.31576871872,113880.455493927,264430.1652908325,123887.92634010315,325655.57956695557
frame_252,157241.97030067444,59605.248272418976,103520.92981338501,184815.4217004776,150680.0800561905,344136.3275051117
frame_253,208970.97885608673,64170.82995176315,86527.5040268898,165843.96362304688,106909.96795892715,367576.7779350281
frame_254,275510.9667778015,81605.27050495148,112362.340092659,174391.29948616028,70475.12382268906,285654.9620628357
frame_255,138713.076710701,71270.34664154053,84202.70681381226,179177.10542678833,105386.07835769653,421250.70095062256
frame_256,116897.43399620056,56484.155356884,62558.44235420227,313537.71686553955,131614.19332027435,318908.03575515747
frame_257,145654.43992614746,77092.68480539322,126616.4481639862,112600.13282299042,105779.88624572754,432256.40058517456
frame_258,166187.91222572327,86705.31213283539,125304.2072057724,191551.75983905792,121013.17197084427,309237.65897750854
frame_259,129989.46011066437,93145.17676830292,95427.75899171829,138459.17582511902,230640.05374908447,312338.35220336914
frame_260,157135.90383529663,70401.6163945198,116911.00895404816,167603.15001010895,112435.39303541183,375512.89796829224
frame_261,178151.39889717102,72522.78923988342,139660.86506843567,106831.44629001617,153122.6634979248,349710.8221054077
frame_262,207979.9771308899,100228.62255573273,118535.93587875366,172567.9188966751,116102.78487205505,284584.76066589355
