,startoftext,person</w>,person</w>,share</w>,kisses</w>,endoftext
frame_68,597110.0330352783,570678.8897514343,543903.2316207886,562877.2974014282,610155.9400558472,757407.6652526855
frame_69,604208.4693908691,561652.8391838074,561647.1171379089,577104.4492721558,659477.2338867188,678043.007850647
frame_70,622569.7994232178,545016.7059898376,605973.3629226685,559734.7021102905,670483.410358429,638355.1359176636
frame_71,627087.8314971924,533366.4417266846,525997.0426559448,543605.625629425,735494.6136474609,676581.4423561096
frame_72,638945.3411102295,570439.338684082,536781.1918258667,580843.6870574951,638345.2415466309,676778.1972885132
frame_73,662907.8388214111,571051.5975952148,562663.733959198,611273.8847732544,588340.8188819885,645895.24269104
frame_74,698881.1492919922,549138.0095481873,567134.9763870239,609071.1355209351,614877.2835731506,603030.5624008179
frame_75,662743.5684204102,598259.2105865479,552466.1540985107,547507.1668624878,653878.5099983215,627278.3875465393
frame_76,588159.5015525818,616087.1982574463,553066.074848175,611330.7476043701,624795.6156730652,648693.9191818237
frame_77,663154.4828414917,593460.9174728394,598527.6103019714,620873.6300468445,606115.4007911682,560000.9560585022
frame_78,642227.7688980103,581414.6995544434,576311.8267059326,622431.8742752075,606374.2637634277,613372.5643157959
frame_79,613574.8624801636,650398.2543945312,586631.0000419617,584410.7866287231,612801.9094467163,594316.1845207214
frame_80,685077.6076316833,551882.0285797119,555235.5051040649,588383.0785751343,601750.7910728455,659804.105758667
frame_81,668220.6988334656,587848.2460975647,541593.3132171631,618891.179561615,621869.8024749756,603709.7573280334
frame_82,681871.4737892151,573952.317237854,504278.36179733276,554913.5208129883,575229.8831939697,751887.5598907471
frame_83,606812.9539489746,549130.2609443665,535306.3344955444,553967.9527282715,682694.4351196289,714221.1198806763
frame_84,654393.9113616943,585720.1814651489,531373.2624053955,570314.7649765015,662115.0374412537,638215.8994674683
frame_85,711098.9689826965,586843.7886238098,594341.8741226196,587906.1222076416,577148.7951278687,584793.4484481812
frame_86,637914.4191741943,570840.6567573547,517290.47298431396,544921.2789535522,698933.9590072632,672232.2702407837
frame_87,677411.9138717651,537589.1923904419,539256.6323280334,566457.8080177307,562538.6834144592,758878.8270950317
frame_88,691683.7692260742,553079.7243118286,569361.4482879639,580405.3544998169,569519.2813873291,678083.5390090942
frame_89,651089.9662971497,556222.0811843872,575217.604637146,605771.3627815247,626671.4334487915,627160.5491638184
frame_90,680795.0735092163,606804.9073219299,567899.3463516235,607102.3941040039,594670.5341339111,584860.7420921326
frame_91,636597.4545478821,564068.615436554,517881.92987442017,536605.0004959106,749754.9057006836,637225.1510620117
frame_92,650519.4902420044,618862.0924949646,608568.1915283203,681453.2279968262,791045.9041595459,696665.1082038879
frame_93,687535.8819961548,557722.6877212524,556221.6639518738,593617.7968978882,591329.3361663818,655705.6903839111
frame_94,660644.2332267761,578467.9651260376,600529.8495292664,668970.3464508057,571735.2628707886,561785.3999137878
frame_95,650402.0690917969,579126.6560554504,585769.6533203125,574805.4385185242,643628.5972595215,675511.4793777466
frame_96,620075.9410858154,552501.4400482178,530402.7199745178,534702.0626068115,650268.5546875,754182.4579238892
frame_97,610006.6900253296,573140.561580658,550026.3571739197,571129.8584938049,673070.3711509705,664759.1590881348
frame_98,657472.2528457642,570862.1144294739,538460.4930877686,579983.8304519653,582050.2638816833,713304.0428161621
frame_99,569956.1834335327,570004.2247772217,543054.6998977661,611620.7242012024,646468.1625366211,701028.9430618286
frame_100,622648.7755775452,595359.5638275146,591161.6683006287,562004.029750824,611785.5906486511,659173.4290122986
frame_101,674939.3939971924,541404.0088653564,549455.6427001953,573352.575302124,579377.6512145996,723603.7254333496
frame_102,605147.8981971741,593996.7036247253,603817.2245025635,602235.7940673828,567415.1182174683,669520.4377174377
frame_103,625850.6774902344,544012.0697021484,558843.9702987671,573234.2600822449,644246.1609840393,695945.9185600281
frame_104,697108.8647842407,552948.7133026123,573392.6296234131,603121.5190887451,629656.7916870117,585904.598236084
frame_105,614486.813545227,609545.5884933472,616989.7317886353,564815.9980773926,604508.0423355103,631786.8828773499
frame_106,551950.3355026245,532252.6097297668,576460.4210853577,550376.7132759094,784416.913986206,646676.0635375977
frame_107,686499.834060669,559378.6835670471,523254.4541358948,597306.0131072998,666968.8820838928,608725.1305580139
frame_108,616544.783115387,570218.563079834,554019.6299552917,573522.2101211548,670044.481754303,657783.3890914917
frame_109,655311.3460540771,531768.0835723877,549881.1602592468,598334.0740203857,621344.6855545044,685493.7076568604
frame_110,651683.6881637573,610853.0163764954,577275.0973701477,632644.534111023,577941.5369033813,591735.1841926575
frame_111,646525.8598327637,578578.7105560303,561768.8298225403,656623.9595413208,554843.544960022,643792.0331954956
frame_112,680942.5950050354,514042.61589050293,549097.0015525818,527883.6488723755,663412.6901626587,706754.5652389526
frame_113,659217.894077301,550482.988357544,511592.0305252075,516102.49280929565,712555.4084777832,692182.183265686
frame_114,659956.5744400024,561737.4777793884,545685.2316856384,541065.8121109009,601795.0773239136,731892.8241729736
frame_115,724965.3339385986,543991.3272857666,539119.2436218262,572072.3867416382,612423.7179756165,649560.9879493713
frame_116,694986.4625930786,550249.9341964722,538814.0678405762,510909.2593193054,616982.6984405518,730190.634727478
frame_117,605615.1986122131,555389.940738678,562512.3381614685,600998.6400604248,620078.0868530273,697538.8526916504
frame_118,663059.9498748779,572183.37059021,531111.5384101868,594184.2198371887,615766.0484313965,665827.9299736023
frame_119,661310.5535507202,554271.0423469543,531863.0933761597,644496.6793060303,611552.1788597107,638639.5692825317
frame_120,662605.2260398865,574868.0233955383,551871.8957901001,683219.3732261658,581095.3378677368,588473.2007980347
frame_121,569162.7860069275,575101.1967658997,569391.8466567993,581355.3333282471,617129.2066574097,729992.6280975342
frame_122,767451.286315918,550293.9224243164,549535.0360870361,607461.9293212891,595485.9852790833,571904.9572944641
frame_123,636051.0587692261,603531.7778587341,528512.179851532,577273.7264633179,671052.2174835205,625712.0966911316
frame_124,678551.3758659363,557482.9578399658,546230.0777435303,631160.1400375366,618776.2022018433,609932.3034286499
frame_125,609403.9678573608,593004.7035217285,568259.2988014221,570280.6115150452,619710.8030319214,681473.6723899841
frame_126,703982.1147918701,531550.3478050232,533548.6531257629,553988.8143539429,616779.625415802,702283.501625061
frame_127,540146.8873023987,563213.7656211853,525444.6864128113,615951.8361091614,642816.6627883911,754559.2784881592
frame_128,661982.0594787598,545866.5490150452,533421.4568138123,552802.562713623,725324.8691558838,622735.5003356934
frame_129,643020.0934410095,601204.2760848999,565432.9657554626,620660.662651062,571391.9997215271,640423.059463501
frame_130,629134.8338127136,554114.6993637085,551744.1034317017,644778.6092758179,647843.9569473267,614516.8542861938
frame_131,601437.3302459717,548595.130443573,541025.2809524536,573066.4730072021,722792.5062179565,655216.39585495
frame_132,664074.8977661133,579576.3731002808,563453.0186653137,588005.8407783508,578116.1785125732,668906.7482948303
frame_133,675013.2441520691,595032.5131416321,541230.3805351257,609796.404838562,582936.0485076904,638124.4659423828
frame_134,632437.6463890076,540836.3938331604,601075.0532150269,579798.698425293,607358.6940765381,680626.5711784363
frame_135,681120.2764511108,570776.5817642212,547828.4358978271,565632.5221061707,674032.6881408691,602742.5527572632
frame_136,628906.4884185791,559598.3862876892,571588.1586074829,609403.5506248474,614438.533782959,658197.9990005493
frame_137,618785.9177589417,612816.0953521729,538080.2750587463,612944.483757019,632319.3311691284,627187.0136260986
frame_138,602675.6763458252,602945.6257820129,551581.084728241,648559.9875450134,651341.0806655884,585029.6020507812
frame_139,659104.7644615173,575541.4962768555,572035.551071167,641186.2373352051,603339.0760421753,590925.8723258972
frame_140,659602.9996871948,522961.1396789551,538179.874420166,569550.7526397705,585592.5679206848,766245.7227706909
frame_141,659552.4549484253,590925.4550933838,561467.7667617798,645432.9490661621,581772.5658416748,602981.9250106812
frame_142,704895.7347869873,595332.6225280762,588591.9332504272,602595.0908660889,573403.1200408936,577314.6748542786
frame_143,659493.8635826111,565225.1839637756,517226.81522369385,565334.8565101624,626806.0207366943,708046.3171005249
frame_144,623256.6833496094,569358.4680557251,563892.8413391113,596372.3659515381,621378.4217834473,734985.1131439209
frame_145,707234.263420105,574415.5049324036,587904.155254364,646173.7155914307,615502.4170875549,578013.8969421387
frame_146,660309.3147277832,573552.131652832,554664.0753746033,597650.7663726807,621332.4069976807,634624.3619918823
frame_147,571455.180644989,550754.189491272,558432.4598312378,609021.9020843506,682834.2080116272,669635.0574493408
frame_148,635008.2159042358,557904.0050506592,570000.0524520874,588292.0026779175,587806.5228462219,703122.2581863403
frame_149,656160.4142189026,562626.6002655029,537980.1988601685,653182.9833984375,588620.662689209,643562.3168945312
frame_150,663865.5662536621,581850.6479263306,544796.5860366821,623768.8064575195,589602.4703979492,638248.9800453186
frame_151,631520.8673477173,586233.4966659546,592245.1615333557,582237.0648384094,639137.6852989197,610758.7814331055
frame_152,631515.5029296875,515519.73819732666,522401.6308784485,561662.0779037476,695457.935333252,715576.171875
frame_153,646647.036075592,561437.726020813,518359.06505584717,574508.4285736084,747075.7961273193,594105.064868927
frame_154,622500.9560585022,578418.4336662292,544930.100440979,565724.6112823486,622620.1057434082,707938.9095306396
frame_155,595067.8586959839,539470.4937934875,586065.5903816223,625504.4341087341,736870.527267456,559154.212474823
frame_156,617898.3449935913,555907.2494506836,543994.8439598083,579612.9107475281,689361.6318702698,655358.076095581
frame_157,603560.745716095,571471.2142944336,568298.2802391052,554749.8464584351,630633.8310241699,713419.0797805786
frame_158,635543.8232421875,561023.3545303345,532209.5155715942,591439.2471313477,649810.791015625,672106.3852310181
frame_159,628129.6014785767,571194.052696228,548564.0168190002,585827.112197876,701052.0696640015,607366.0850524902
frame_160,584396.8987464905,544983.3869934082,535265.862941742,593259.6325874329,683516.7407989502,700710.5350494385
frame_161,618264.91355896,562893.9270973206,550770.2231407166,618341.863155365,709481.1201095581,582381.0696601868
frame_162,582615.852355957,563270.9264755249,560843.5273170471,535714.6263122559,672655.1651954651,727033.0190658569
frame_163,676758.885383606,561609.7450256348,563209.4740867615,577262.2227668762,639348.8645553589,623943.9249038696
frame_164,626236.2003326416,568661.4513397217,541512.4297142029,593377.4709701538,642204.761505127,670140.6836509705
frame_165,605953.9318084717,532911.5390777588,541304.1710853577,570990.3240203857,698351.263999939,692621.7675209045
frame_166,635168.9100265503,550506.8898200989,539135.9329223633,568129.2414665222,660564.7802352905,688627.302646637
frame_167,695481.6579818726,572095.6325531006,569861.2928390503,582560.8968734741,652989.7451400757,569143.8913345337
frame_168,646454.4534683228,558173.7756729126,578343.5106277466,621614.8138046265,611656.3081741333,625890.1357650757
frame_169,642565.7868385315,545004.5466423035,545060.0385665894,591681.4804077148,639668.2262420654,678152.9188156128
frame_170,579742.3720359802,548132.2407722473,559855.7591438293,563727.0212173462,635381.6986083984,755293.9653396606
frame_171,674513.9360427856,616418.9577102661,527460.9923362732,590040.922164917,672349.5721817017,561348.6170768738
frame_172,624090.7311439514,622457.5638771057,598665.4758453369,630354.8812866211,598739.2663955688,567825.1385688782
frame_173,620909.3332290649,541577.5775909424,546641.9458389282,607151.7467498779,673557.5199127197,652294.933795929
frame_174,652512.4907493591,543420.6128120422,556222.4984169006,604597.0320701599,668352.484703064,617027.997970581
frame_175,687837.0046615601,574578.9408683777,551030.5762290955,571677.6251792908,606714.6062850952,650294.303894043
frame_176,731626.8682479858,562526.1664390564,535734.8918914795,606379.9858093262,553150.5942344666,652714.4908905029
frame_177,641277.9092788696,548943.5195922852,588778.7342071533,646642.9233551025,565549.2544174194,650940.6566619873
frame_178,652691.6027069092,530914.7834777832,543470.025062561,547676.5036582947,703786.6115570068,663593.5306549072
frame_179,679456.4723968506,592030.2867889404,524571.8955993652,597311.0795021057,636571.2285041809,612192.0943260193
frame_180,654887.1994018555,588209.7482681274,567271.4710235596,575512.170791626,633014.3809318542,623238.0867004395
frame_181,687231.719493866,582501.471042633,552770.9126472473,608781.5165519714,623464.7035598755,587382.7338218689
frame_182,597112.1788024902,549348.8311767578,520755.7678222656,576074.6598243713,682536.4232063293,716305.2558898926
frame_183,699229.0019989014,574213.1471633911,540779.8290252686,576907.8731536865,650308.0725669861,600695.1332092285
frame_184,645890.1166915894,553702.4140357971,535045.5045700073,579202.5923728943,738250.9708404541,590041.45860672
frame_185,621656.5370559692,593678.9512634277,568898.1413841248,623259.5443725586,591566.6818618774,643073.2011795044
frame_186,634817.2426223755,528877.854347229,601005.9714317322,562812.5667572021,633878.5290718079,680740.9524917603
frame_187,633367.0020103455,600896.1200714111,547553.7180900574,634851.336479187,678198.0991363525,614377.6178359985
frame_188,709054.708480835,551113.7843132019,575017.0946121216,583801.26953125,624384.880065918,598761.260509491
frame_189,653127.5510787964,572991.4903640747,537095.1890945435,536030.7693481445,699144.3037986755,643743.7534332275
frame_190,567178.48777771,672656.4168930054,547154.0689468384,580349.326133728,662304.7590255737,612490.0579452515
frame_191,604965.4483795166,538774.4307518005,583282.5303077698,579002.9764175415,628775.417804718,707332.3726654053
frame_192,611274.242401123,557596.743106842,588314.7120475769,597083.568572998,598099.5893478394,689764.142036438
frame_193,630644.9770927429,563160.240650177,542089.9987220764,570811.9869232178,664571.5236663818,670854.3300628662
frame_194,702624.7382164001,550262.3319625854,557213.1872177124,591027.1406173706,604838.3712768555,636167.1686172485
frame_195,687530.8156013489,562928.9150238037,583298.4447479248,632272.8395462036,612921.8339920044,563180.2678108215
frame_196,627224.0877151489,576142.430305481,518560.64796447754,543678.5221099854,736113.3098602295,640414.1187667847
frame_197,724255.0849914551,555832.4456214905,551721.7516899109,571171.6413497925,614789.4263267517,624362.7071380615
frame_198,652969.8371887207,603008.0914497375,559853.5537719727,661325.5739212036,549496.4718818665,615479.4692993164
frame_199,651372.0750808716,563461.95936203,551816.8210983276,587302.6847839355,622467.577457428,665711.8797302246
frame_200,673345.0889587402,563552.3796081543,563533.1273078918,580418.2291030884,679133.5344314575,582150.6977081299
frame_201,665887.5346183777,582391.7388916016,579343.318939209,614459.9914550781,637251.1982917786,562799.2749214172
frame_202,664866.8050765991,608147.0251083374,594353.437423706,627292.4542427063,578960.2398872375,568513.1549835205
frame_203,644990.086555481,537114.5606040955,545632.8392028809,551115.2148246765,609428.6441802979,753851.7713546753
frame_204,613331.0794830322,542129.5762062073,535393.238067627,566681.3254356384,645815.4916763306,738782.2866439819
frame_205,673984.1103553772,572057.4855804443,535825.788974762,574414.7896766663,683632.3738098145,602218.508720398
frame_206,595963.9549255371,570293.7245368958,539941.0128593445,600636.1842155457,691057.2052001953,644240.9753799438
frame_207,606066.3461685181,583423.0780601501,588908.7915420532,653577.3277282715,583359.3606948853,626798.0337142944
frame_208,559843.1825637817,583441.0786628723,606230.7357788086,584951.0431289673,650821.328163147,656845.6888198853
frame_209,659460.4849815369,551443.6960220337,571212.0532989502,601778.4476280212,630984.7831726074,627253.5920143127
frame_210,667681.4556121826,560999.2742538452,548871.9940185547,628365.695476532,548047.0061302185,688167.6912307739
frame_211,622870.0876235962,579113.245010376,593305.7069778442,652883.2316398621,601838.5887145996,592122.0779418945
frame_212,651597.6786613464,532238.1854057312,530246.2577819824,612280.3092002869,646633.7442398071,669136.9414329529
frame_213,651826.2624740601,530994.7729110718,543931.9610595703,584451.6754150391,674544.2748069763,656384.1104507446
frame_214,607904.5534133911,541812.1218681335,557509.4223022461,603137.4931335449,663061.4995956421,668707.9071998596
frame_215,671691.0600662231,598253.7865638733,590359.0321540833,642430.5438995361,579963.8032913208,559434.8311424255
frame_216,710792.6607131958,556588.2325172424,543786.1084938049,579355.6571006775,615715.503692627,635894.8349952698
frame_217,619650.0062942505,558889.7466659546,607780.2181243896,549125.0157356262,717951.1189460754,588737.0109558105
frame_218,652419.3286895752,539425.9691238403,507311.46335601807,563850.7604598999,801918.0297851562,577207.5057029724
frame_219,586430.4900169373,554814.875125885,557802.677154541,611854.1359901428,672584.6529006958,658646.1067199707
frame_220,622219.0856933594,512945.11556625366,534378.2901763916,550545.0367927551,744436.502456665,677609.0264320374
frame_221,619694.1137313843,525559.7829818726,508725.46434402466,569898.9033699036,757369.4586753845,660885.3340148926
frame_222,608709.2757225037,556376.1591911316,577443.540096283,588240.6830787659,707327.4254798889,604036.0331535339
frame_223,649298.3102798462,563963.0556106567,549844.4437980652,578958.0345153809,641846.4779853821,658222.7945327759
frame_224,765997.7674484253,536819.2195892334,619494.1997528076,578001.856803894,554141.9386863708,587678.074836731
frame_225,602715.253829956,577225.7447242737,536890.0299072266,558750.9274482727,620055.4370880127,746495.6045150757
frame_226,586054.1462898254,533173.680305481,560244.4410324097,623159.5277786255,676844.3584442139,662656.7840576172
frame_227,646903.9916992188,591320.3954696655,584608.256816864,635579.2284011841,583053.8272857666,600667.3574447632
frame_228,585882.4253082275,531957.3879241943,528612.6136779785,621816.2178993225,626984.6558570862,746879.6968460083
frame_229,702238.4405136108,552068.7103271484,536486.7448806763,607710.1826667786,593885.9581947327,649743.0801391602
frame_230,646792.8886413574,537392.258644104,575382.1730613708,564211.4281654358,632468.1639671326,685886.1446380615
frame_231,646289.1101837158,522960.7820510864,570783.7343215942,624666.4524078369,603338.5992050171,674094.4385528564
frame_232,672693.1929588318,524695.5156326294,526883.9001655579,572551.6080856323,677226.4242172241,668082.4756622314
frame_233,616041.4218902588,551574.7666358948,531892.0612335205,568516.7908668518,731995.701789856,642112.3743057251
frame_234,643595.0994491577,547698.974609375,584591.7463302612,567997.6344108582,683358.5500717163,614891.0522460938
frame_235,673500.3590583801,544829.1301727295,527425.6467819214,581978.1422615051,639683.2466125488,674716.591835022
frame_236,584884.2859268188,604300.6181716919,566195.2495574951,595025.6586074829,642181.6349029541,649545.5503463745
frame_237,579354.7034263611,548258.364200592,585569.441318512,523616.4331436157,673304.7962188721,732029.378414154
frame_238,693767.9648399353,537974.2383956909,537862.7777099609,631427.7648925781,596786.5586280823,644313.633441925
frame_239,639054.4176101685,539463.3412361145,568556.3087463379,541632.354259491,655172.1096038818,698254.4660568237
frame_240,610298.752784729,568261.1465454102,577178.0610084534,551830.1725387573,648049.2353439331,686515.6292915344
frame_241,640583.9323997498,542452.6929855347,609344.7208404541,675951.9577026367,562169.1942214966,611630.5589675903
frame_242,656648.8742828369,582413.3157730103,531764.2688751221,586797.5950241089,672143.2209014893,612365.6630516052
frame_243,620433.6881637573,546638.9656066895,561751.3656616211,638322.5321769714,603783.0710411072,671203.4940719604
frame_244,607981.8606376648,564212.441444397,540767.4312591553,640843.0337905884,606978.0588150024,681350.1715660095
frame_245,617894.2918777466,582454.4429779053,525846.6005325317,613832.4737548828,618674.5762825012,683430.6120872498
frame_246,629157.543182373,552009.4633102417,539573.9674568176,576193.4518814087,721174.5977401733,624024.0335464478
frame_247,704617.8579330444,579866.5285110474,546113.4314537048,586535.4537963867,609246.1347579956,615753.710269928
frame_248,570949.0180015564,562372.5652694702,567668.4379577637,617087.2449874878,666065.8717155457,657989.9787902832
frame_249,605458.8556289673,526943.9816474915,519455.31368255615,582976.222038269,682399.5113372803,724899.1131782532
frame_250,645715.1770591736,570017.8146362305,604014.51587677,586694.9558258057,586713.0756378174,648977.6372909546
frame_251,633028.5668373108,550915.3604507446,587929.1296005249,637264.9669647217,634704.58984375,598290.4434204102
frame_252,619414.5679473877,528217.4944877625,557068.5863494873,630285.9783172607,660234.6897125244,646911.7403030396
frame_253,676774.4421958923,547425.7469177246,542805.1352500916,582064.2709732056,664145.1120376587,628918.4093475342
frame_254,696855.902671814,560344.0999984741,593326.8070220947,583488.8219833374,586470.1271057129,621647.2387313843
frame_255,619440.5555725098,532852.292060852,521699.30934906006,559852.659702301,632492.4230575562,775795.8173751831
frame_256,727387.547492981,536117.7325248718,567313.1942749023,596183.180809021,622684.0019226074,592447.4000930786
frame_257,608865.1418685913,550065.5174255371,593002.0213127136,569606.6617965698,636745.9297180176,683847.7849960327
frame_258,628386.0206604004,554958.2242965698,562191.903591156,605661.0941886902,650979.0420532227,639956.7127227783
frame_259,573201.3583183289,512415.88592529297,557639.0027999878,584233.1051826477,727009.0579986572,687634.5872879028
frame_260,621652.3051261902,584847.1522331238,610049.7245788574,603928.5659790039,603683.8293075562,617971.4798927307
frame_261,621473.7892150879,520374.4173049927,546344.4590568542,515951.9910812378,672233.8795661926,765754.5804977417
frame_262,664456.1290740967,523114.50242996216,548681.914806366,619851.1719703674,605346.3220596313,680683.0167770386
frame_263,618896.6035842896,550032.0792198181,519213.6764526367,573743.6413764954,609523.7731933594,770723.2236862183
frame_264,646263.1821632385,564008.4743499756,520515.0246620178,591674.5662689209,676766.9916152954,642904.7584533691
