,startoftext,watch</w>,moment</w>,person</w>,sm,acks</w>,person</w>,endoftext
frame_71,139342.7848815918,119066.89405441284,112727.45579481125,112604.18593883514,117890.00779390335,120973.04314374924,117328.14460992813,160067.52848625183
frame_72,144891.8730020523,123457.61805772781,113529.95783090591,112636.46930456161,116427.50352621078,119497.23213911057,119639.94055986404,149919.39067840576
frame_73,137111.44030094147,123434.17853116989,114106.73707723618,113672.04785346985,116186.40273809433,122126.5122294426,118928.87949943542,154433.81667137146
frame_74,133543.99800300598,117394.49203014374,112712.36836910248,114197.96943664551,115125.17184019089,119184.7026348114,118464.91694450378,169376.403093338
frame_75,133195.57905197144,116409.36881303787,112987.4512553215,115001.70826911926,118708.41681957245,126019.686460495,119768.13524961472,157909.5870256424
frame_76,141950.45828819275,121432.96748399734,114594.88421678543,114108.92009735107,115981.67568445206,119604.74401712418,121038.7796163559,151287.58549690247
frame_77,138695.71685791016,116059.45229530334,113012.31384277344,114055.38022518158,116269.5437669754,120957.92591571808,119608.72262716293,161340.90721607208
frame_78,149482.93566703796,120322.71176576614,113008.17877054214,112663.08277845383,115442.33560562134,125839.08438682556,117876.30617618561,145365.372300148
frame_79,141376.13773345947,128249.19819831848,115878.35103273392,113789.10392522812,115669.31754350662,122390.48629999161,117792.71066188812,144854.72440719604
frame_80,151969.73085403442,117332.30948448181,113126.54614448547,113615.7289147377,114374.33958053589,123975.50791501999,114798.6650466919,150807.186961174
frame_81,141264.870762825,116299.8303771019,114558.08579921722,113835.4167342186,116377.48032808304,120109.75182056427,118510.8944773674,159043.68460178375
frame_82,149351.71604156494,123294.18212175369,114990.4653429985,115400.0461101532,114860.98915338516,116785.1835489273,121481.12058639526,143836.25984191895
frame_83,144054.77046966553,125255.5251121521,115153.09661626816,114863.321185112,117423.34812879562,118836.97658777237,120671.62990570068,143741.36924743652
frame_84,140340.29841423035,125639.36412334442,113248.41529130936,112482.08582401276,118363.29847574234,122122.40695953369,119747.93672561646,148056.16438388824
frame_85,136233.6277961731,118145.69681882858,113582.97616243362,114341.16959571838,118137.99291849136,124808.68399143219,118235.20064353943,156514.62972164154
frame_86,144608.06548595428,120017.42422580719,114153.53417396545,114043.4667468071,117428.58588695526,126622.43843078613,121192.96193122864,141933.54547023773
frame_87,135901.51071548462,117998.01141023636,114139.16200399399,113621.0784316063,115850.37410259247,116567.87991523743,119567.49111413956,166354.41780090332
frame_88,139572.54588603973,120553.75427007675,113623.82769584656,112197.10856676102,114975.98141431808,117562.9273056984,119612.56712675095,161901.25048160553
frame_89,138275.19118785858,116751.07479095459,113541.49878025055,115051.0162115097,116753.33231687546,123046.90480232239,117199.25701618195,159381.74724578857
frame_90,137761.23523712158,118810.0203871727,115421.63789272308,114571.92152738571,118384.48792695999,123063.16941976547,119230.50135374069,152757.01880455017
frame_91,141457.11064338684,116019.47247982025,115079.99897003174,114235.0286245346,118383.33308696747,124821.93112373352,120413.28102350235,149589.8813009262
frame_92,146370.91755867004,117680.8774471283,111817.1438574791,111517.01956987381,115998.23087453842,120411.61954402924,117678.1952381134,158525.9586572647
frame_93,138927.45971679688,120086.82638406754,114098.24341535568,113041.11778736115,114846.42326831818,122938.82668018341,117260.97762584686,158800.1549243927
frame_94,144235.7897758484,120755.37443161011,112395.01088857651,112559.51225757599,117880.77652454376,120710.73800325394,118612.47569322586,152850.32987594604
frame_95,148920.32742500305,116002.09027528763,113587.29004859924,112958.56535434723,115144.48374509811,122416.190803051,116953.17178964615,154017.92526245117
frame_96,142647.68362045288,120085.58213710785,115253.18026542664,114210.97069978714,120028.59264612198,122420.40783166885,119842.41008758545,145511.15036010742
frame_97,143073.9462375641,121155.92509508133,114668.3618426323,113069.5790052414,116992.65241622925,123879.70834970474,119067.03561544418,148092.79143810272
frame_98,133743.5245513916,122773.35673570633,117066.77079200745,115313.35860490799,120735.95076799393,129124.19438362122,118611.53692007065,142631.32214546204
frame_99,146242.6483631134,121640.79397916794,114066.7125582695,113680.6458234787,120926.73778533936,126571.38705253601,119307.58506059647,137563.46702575684
frame_100,135920.2265739441,119966.12697839737,114174.07542467117,114353.58971357346,115005.9774518013,119139.61917161942,119688.18306922913,161752.22396850586
frame_101,139767.8703069687,122932.64269828796,116302.22946405411,113698.20684194565,117884.21869277954,120093.39779615402,121461.02637052536,147860.42273044586
frame_102,147309.88442897797,116560.09405851364,115613.11781406403,114413.71589899063,117450.12551546097,120497.927069664,121751.20413303375,146403.9534330368
frame_103,140132.874250412,118628.87442111969,117505.7590007782,115287.85526752472,118559.0848326683,127509.37044620514,119580.02299070358,142796.18859291077
frame_104,142874.03225898743,115583.43470096588,113408.51336717606,114981.21172189713,116561.4128112793,118102.52815485,120214.27601575851,158274.5462656021
frame_105,142302.2747039795,118188.41099739075,114708.68438482285,113704.79315519333,116662.30112314224,131668.18022727966,120124.61572885513,142640.75458049774
frame_106,143294.03638839722,124652.31120586395,114149.76418018341,114747.56896495819,115250.6023645401,121491.30553007126,118111.7370724678,148302.64449119568
frame_107,136155.6351184845,120239.66014385223,112389.4676566124,114175.72945356369,116787.66459226608,123626.2172460556,118969.35105323792,157656.28218650818
frame_108,143275.75266361237,116970.63595056534,115278.54204177856,114665.09848833084,117144.6442604065,122324.99569654465,117569.77438926697,152770.54905891418
frame_109,134390.7117843628,122566.75958633423,113972.05293178558,114292.27143526077,118035.2196097374,122648.90223741531,119782.79799222946,154311.25462055206
frame_110,141471.63927555084,118299.67051744461,115553.97510528564,114696.48033380508,116879.38868999481,123121.2168931961,120350.80790519714,149626.85108184814
frame_111,145198.0024576187,123534.73901748657,113000.34075975418,114445.72359323502,114068.46344470978,116984.69519615173,119358.39056968689,153409.6747636795
frame_112,142112.6127243042,119412.47433423996,116118.53539943695,117755.83773851395,116284.86961126328,123618.6996102333,120020.73228359222,144676.26810073853
frame_113,154952.40688323975,116416.36490821838,112274.69146251678,113276.906311512,113617.04021692276,117794.80427503586,117553.64388227463,154114.14206027985
frame_114,143332.04925060272,118853.83725166321,113525.18200874329,113295.80098390579,117482.66965150833,120900.13176202774,116777.203977108,155833.08041095734
frame_115,142362.43069171906,118575.01417398453,113101.02790594101,112532.31763839722,115768.35811138153,120036.87769174576,119000.49448013306,158623.51655960083
frame_116,136939.3914937973,116656.1096906662,113817.54279136658,114339.1877412796,119374.90105628967,125851.80997848511,119026.0723233223,153994.93277072906
frame_117,147012.79997825623,117556.1472773552,113408.9082479477,113442.01862812042,117419.01934146881,122330.64323663712,117466.58384799957,151363.83473873138
frame_118,137548.71487617493,120359.49528217316,115245.70733308792,112560.13810634613,118762.96252012253,120827.46624946594,118039.11626338959,156656.4291715622
frame_119,132309.97323989868,119246.99693918228,113609.29161310196,113811.09803915024,116873.1227517128,126196.29502296448,119759.74589586258,158193.49884986877
frame_120,137646.48139476776,122608.64675045013,114173.68054389954,113456.09277486801,119415.2981042862,122107.69206285477,122244.07494068146,148347.98872470856
frame_121,134044.3640947342,120001.84506177902,115295.59642076492,115335.44957637787,116832.32337236404,120713.61392736435,121403.68670225143,156373.15809726715
frame_122,139604.28535938263,125867.53070354462,113921.56779766083,113858.53588581085,119128.36879491806,125204.83136177063,117882.57211446762,144532.33778476715
frame_123,133086.08531951904,119398.35548400879,114510.89382171631,113828.56220006943,118442.57265329361,122931.71882629395,119485.84020137787,158316.0012960434
frame_124,134947.44896888733,123606.97984695435,114744.00013685226,115536.51839494705,118900.06065368652,123452.20148563385,118439.28694725037,150373.51846694946
frame_125,145428.77674102783,118403.64336967468,112181.34313821793,112381.49553537369,116108.35790634155,119841.0838842392,121139.96595144272,154515.3558254242
frame_126,140292.9723262787,119077.13860273361,116149.70117807388,116213.1279706955,116677.95479297638,123231.41098022461,120714.39623832703,147643.23830604553
frame_127,142117.99204349518,119194.19467449188,113329.08272743225,114329.68080043793,119140.3716802597,121947.20655679703,116564.25893306732,153377.2349357605
frame_128,134218.85669231415,120333.78332853317,114907.86075592041,115432.09105730057,116409.10804271698,121894.10626888275,116077.82542705536,160726.35352611542
frame_129,137552.1719455719,123297.22195863724,114272.87012338638,115154.2216539383,115969.2108631134,118779.17498350143,121355.19832372665,153619.8854446411
frame_130,138563.18593025208,122555.211186409,113680.13918399811,114104.79247570038,119385.91301441193,127504.95970249176,118964.5379781723,145241.26052856445
frame_131,134036.94331645966,117688.28332424164,115669.02697086334,114300.75764656067,116586.30520105362,120074.7936964035,118798.94882440567,162844.9559211731
frame_132,144211.35187149048,125365.86821079254,116973.02758693695,114442.1324133873,115852.41556167603,119110.1223230362,119288.42961788177,144756.68966770172
frame_133,150047.31714725494,118206.2178850174,116389.37145471573,114225.1193523407,117137.75247335434,124643.45246553421,120657.23538398743,138693.49658489227
frame_134,146033.25724601746,119525.05260705948,113923.73591661453,112990.99773168564,114830.89625835419,123612.37406730652,117762.08132505417,151321.60484790802
frame_135,150786.26573085785,116637.28207349777,113404.39319610596,112533.71834754944,116387.42685317993,118571.77317142487,122806.88434839249,148872.19667434692
frame_136,136435.71734428406,119573.9284157753,113738.72309923172,112607.62065649033,122173.45088720322,130595.3562259674,120628.13341617584,144247.06995487213
frame_137,143343.79136562347,120076.55203342438,113813.05009126663,115105.37564754486,116916.19455814362,118919.55137252808,119908.25086832047,151917.2191619873
frame_138,152436.4948272705,117646.0012793541,114431.4706325531,114357.33735561371,115060.7243180275,124573.14133644104,118872.93308973312,142621.9642162323
frame_139,135356.6199541092,119548.76035451889,114800.37868022919,114641.62170886993,116794.69794034958,122362.77759075165,120835.90775728226,155659.2732667923
frame_140,138941.9436454773,120701.89416408539,114961.44533157349,113064.9596452713,117621.07163667679,119317.97862052917,121381.41691684723,154009.32729244232
frame_141,142027.16946601868,120615.61644077301,114059.18747186661,113292.07569360733,116705.14196157455,122696.24322652817,119211.8301987648,151392.77279376984
frame_142,143107.02681541443,122056.87165260315,114862.39731311798,113916.27043485641,116406.41838312149,121851.79442167282,119752.65294313431,148046.5531349182
frame_143,137812.65914440155,115481.44370317459,114332.39281177521,115186.70618534088,117816.34390354156,121561.25903129578,123528.74875068665,154280.45392036438
frame_144,136262.4168395996,120022.66198396683,114995.29331922531,113864.4888997078,117527.18687057495,124614.03757333755,119538.67226839066,153175.2347946167
frame_145,142116.2784099579,117391.10946655273,114107.08725452423,115741.56582355499,116632.72231817245,120959.59484577179,118253.55142354965,154798.10535907745
frame_146,147577.53908634186,121143.98926496506,115123.76368045807,114233.8514328003,115052.83415317535,119329.3109536171,122724.70444440842,144814.02933597565
frame_147,147179.2608499527,119586.44539117813,114564.71681594849,112832.47917890549,114913.2028222084,124068.30489635468,118283.36864709854,148572.1915960312
frame_148,146811.91742420197,114806.37639760971,112632.41618871689,114178.8512468338,116806.44750595093,119642.17573404312,119971.3721871376,155150.48801898956
frame_149,143049.10600185394,118656.9631099701,114948.14604520798,114276.9306898117,115615.6063079834,125509.0981721878,119712.11433410645,148232.0874929428
frame_150,130896.06165885925,118506.46883249283,112872.98798561096,114064.41032886505,116142.8615450859,121681.36239051819,120057.64245986938,165778.2346010208
frame_151,137349.75457191467,118354.14171218872,114619.44133043289,112961.08365058899,116807.25961923599,124528.05787324905,116950.3703713417,158429.8610687256
frame_152,145900.6816148758,121131.67345523834,113423.76470565796,112209.23811197281,114390.44773578644,123588.50240707397,116052.5232553482,153303.1165599823
frame_153,138588.26458454132,121017.56781339645,115170.65018415451,113490.13447761536,117693.19325685501,123347.28986024857,116274.98269081116,154417.91713237762
frame_154,141279.86133098602,118422.85841703415,113189.4588470459,113588.62370252609,117567.0325756073,123279.81740236282,119242.49678850174,153429.85093593597
frame_155,145956.6354751587,117570.01280784607,113740.14616012573,114333.27943086624,117342.91911125183,121239.01396989822,118825.30897855759,150992.64681339264
frame_156,141053.63190174103,117695.55509090424,113784.32810306549,113850.9288430214,117712.69142627716,125933.15541744232,120102.73337364197,149866.93859100342
frame_157,143439.382314682,119003.98135185242,114675.3653883934,115570.88047266006,118423.00742864609,124001.4061331749,118156.87268972397,146729.09677028656
frame_158,135756.59692287445,122916.99647903442,112435.10991334915,115116.99110269547,116521.87258005142,124288.31309080124,118291.86975955963,154672.2650527954
frame_159,139121.3983297348,122903.7493467331,114089.68269824982,115184.52316522598,119289.94208574295,122702.59112119675,120164.1634106636,146543.9647436142
frame_160,141015.6637430191,123886.94286346436,114384.43511724472,113084.15234088898,121190.26482105255,128554.79121208191,121643.7816619873,136239.9458885193
frame_161,142253.50320339203,115464.52343463898,113504.41724061966,116206.06482028961,117573.99886846542,121179.55088615417,119869.59725618362,153948.30703735352
frame_162,139175.81737041473,115660.9058380127,115731.46283626556,117586.45623922348,118584.86384153366,123526.29005908966,119156.97157382965,150577.23224163055
frame_163,146994.57585811615,116175.42058229446,113892.18270778656,114556.64783716202,118681.18494749069,118951.80493593216,119339.85352516174,151408.3445072174
frame_164,146074.93579387665,119993.09062957764,113452.21847295761,112305.14198541641,116286.53854131699,123768.35197210312,117960.25186777115,150159.46328639984
frame_165,135874.48000907898,118758.05258750916,114260.68842411041,114935.29379367828,116921.38016223907,121162.548661232,120026.8566608429,158060.7295036316
frame_166,137201.57742500305,115885.83141565323,114240.98163843155,113400.97337961197,117516.60704612732,122221.75300121307,117666.22215509415,161866.06884002686
frame_167,139730.72171211243,121065.6687617302,114386.647939682,112117.99085140228,114349.64835643768,120791.9716835022,117549.12883043289,160008.2516670227
frame_168,135635.8528137207,119990.81075191498,116398.58037233353,115322.80594110489,117876.53714418411,126713.26100826263,118190.2140378952,149871.90067768097
frame_169,138718.1431055069,116161.0558629036,115294.56079006195,115648.7762928009,117569.39440965652,123630.30761480331,119455.57594299316,153522.16362953186
frame_170,146064.34106826782,117365.5167222023,113358.72858762741,113565.05751609802,116538.78539800644,123671.73284292221,118077.90398597717,151357.9785823822
frame_171,131542.75715351105,117084.40631628036,113791.02617502213,115200.9442448616,117279.052734375,120432.36196041107,122710.05660295486,161959.32030677795
frame_172,136084.1542482376,120000.37729740143,114866.6962981224,114107.84721374512,118135.44481992722,126719.93672847748,120127.49165296555,149958.08899402618
frame_173,130182.08742141724,127271.78633213043,114970.40838003159,112754.75472211838,117393.51600408554,122141.7784690857,117494.91095542908,157790.79496860504
frame_174,147822.82710075378,117623.77619743347,112948.939204216,112615.57042598724,114932.68609046936,121150.52342414856,117314.99433517456,155590.6981229782
frame_175,145908.51962566376,117119.4538474083,113627.86591053009,112879.23157215118,114552.84059047699,119665.33213853836,117219.35868263245,159027.3529291153
frame_176,133684.87358093262,116422.83946275711,114268.14645528793,113658.97208452225,117240.33206701279,125869.7658777237,119704.53709363937,159150.55572986603
frame_177,140908.65850448608,119095.92151641846,113767.90702342987,113730.57961463928,116968.26666593552,124553.21103334427,120222.5610613823,150752.84242630005
frame_178,145416.9601202011,117204.24890518188,113660.26103496552,114137.38876581192,114855.14789819717,121378.38453054428,120269.276201725,153078.30274105072
frame_179,135897.9046344757,122005.34343719482,115524.09827709198,117910.39258241653,116918.75755786896,125638.38064670563,122289.13605213165,143815.96446037292
frame_180,143634.1404914856,117574.5353102684,113607.77169466019,114407.10723400116,115828.14157009125,124638.11784982681,120723.6647605896,149586.5136384964
frame_181,130815.22285938263,118112.713098526,113863.84069919586,114414.31939601898,116347.74506092072,122759.148478508,117254.00388240814,166433.03632736206
frame_182,140494.13800239563,117088.47433328629,113917.08999872208,113609.84295606613,120405.8825969696,122910.96895933151,120049.63308572769,151523.99241924286
frame_183,137399.53935146332,118097.55861759186,112838.66316080093,113251.17945671082,118025.46679973602,122595.85410356522,120270.54280042648,157521.23296260834
frame_184,139789.19386863708,120096.89956903458,112850.76290369034,114381.11960887909,115303.56854200363,120448.21679592133,120144.7993516922,156985.44681072235
frame_185,135563.80569934845,117738.30652236938,114504.44161891937,113386.80237531662,117064.4536614418,125836.71510219574,119898.61726760864,156006.8279504776
frame_186,148944.58651542664,119265.1093006134,116011.71642541885,116190.43350219727,116294.65967416763,128512.904047966,119389.67555761337,135390.86282253265
frame_187,131788.13457489014,121399.23870563507,116081.26014471054,113031.70770406723,116496.95038795471,126413.7327671051,118591.67367219925,156197.27969169617
frame_188,134111.9110584259,119011.290371418,115325.86067914963,113064.45300579071,117731.92882537842,125422.35851287842,118455.52921295166,156876.6087293625
frame_189,141063.54117393494,120705.64925670624,113448.97747039795,114929.42273616791,118194.46086883545,121723.7040400505,120108.67148637772,149825.5580663681
frame_190,137774.5419740677,120172.6496219635,114081.03257417679,113817.88551807404,117557.27976560593,130461.9163274765,118887.83425092697,147246.852517128
frame_191,136263.44501972198,118950.10620355606,114218.90556812286,117259.86003875732,115428.17205190659,122833.38606357574,119289.04801607132,155757.0844888687
frame_192,135391.38436317444,118470.55703401566,114727.70571708679,111842.60249137878,116520.08444070816,125970.5126285553,119781.06945753098,157296.0466146469
frame_193,143844.32137012482,117114.73762989044,113023.2959985733,112592.24265813828,117220.60292959213,121692.14338064194,117538.24353218079,156974.4050502777
frame_194,144555.46438694,123731.18102550507,114642.29226112366,113619.32009458542,117818.63123178482,123275.88349580765,121238.574385643,141118.6307668686
frame_195,136283.5019826889,124039.9032831192,116355.49366474152,114138.42439651489,117487.63918876648,122122.90614843369,119039.66963291168,150532.39464759827
frame_196,146275.25210380554,118566.94519519806,114887.35675811768,114017.44186878204,115737.65426874161,117566.71965122223,121356.76294565201,151591.85230731964
frame_197,146408.24496746063,117636.62099838257,112849.161028862,111907.18412399292,114373.77333641052,122896.90226316452,116163.92433643341,157764.13679122925
frame_198,135497.8382587433,120467.54360198975,113917.63389110565,113657.24354982376,115552.10500955582,121153.91343832016,118742.73419380188,161010.9806060791
frame_199,138269.14131641388,121303.55089902878,113173.24638366699,114783.89799594879,119208.2166671753,121417.83535480499,121822.87871837616,150021.22521400452
frame_200,136757.68673419952,120211.01266145706,116588.09334039688,114426.09876394272,116627.83473730087,125954.5236825943,118354.96127605438,151079.81860637665
